assessment_centre,illness,illness_rate,latitude,longitude
Leeds,heart/cardiac problem,0.98,53.8008,-1.5491
Leeds,heart attack/myocardial infarction,5.16,53.8008,-1.5491
Leeds,heart valve problem/heart murmur,2.3,53.8008,-1.5491
Leeds,heart arrhythmia,1.77,53.8008,-1.5491
Leeds,irregular heart beat,0.0,53.8008,-1.5491
Leeds,heart failure/pulmonary odema,0.22,53.8008,-1.5491
Stockport (pilot),heart/cardiac problem,1.78,53.4084,-2.1494
Stockport (pilot),heart attack/myocardial infarction,8.73,53.4084,-2.1494
Stockport (pilot),heart valve problem/heart murmur,4.09,53.4084,-2.1494
Stockport (pilot),heart arrhythmia,0.72,53.4084,-2.1494
Stockport (pilot),irregular heart beat,0.0,53.4084,-2.1494
Stockport (pilot),heart failure/pulmonary odema,0.72,53.4084,-2.1494
Glasgow,heart/cardiac problem,0.79,55.8642,-4.2518
Glasgow,heart attack/myocardial infarction,6.01,55.8642,-4.2518
Glasgow,heart valve problem/heart murmur,2.1,55.8642,-4.2518
Glasgow,heart arrhythmia,1.76,55.8642,-4.2518
Glasgow,irregular heart beat,0.0,55.8642,-4.2518
Glasgow,heart failure/pulmonary odema,0.3,55.8642,-4.2518
Sheffield,heart/cardiac problem,0.5,53.3811,-1.4701
Sheffield,heart attack/myocardial infarction,4.37,53.3811,-1.4701
Sheffield,heart valve problem/heart murmur,0.87,53.3811,-1.4701
Sheffield,heart arrhythmia,0.43,53.3811,-1.4701
Sheffield,irregular heart beat,1.08,53.3811,-1.4701
Sheffield,heart failure/pulmonary odema,0.22,53.3811,-1.4701
Liverpool,heart/cardiac problem,0.65,53.4084,-2.9916
Liverpool,heart attack/myocardial infarction,4.83,53.4084,-2.9916
Liverpool,heart valve problem/heart murmur,1.27,53.4084,-2.9916
Liverpool,heart arrhythmia,1.04,53.4084,-2.9916
Liverpool,irregular heart beat,0.45,53.4084,-2.9916
Liverpool,heart failure/pulmonary odema,0.15,53.4084,-2.9916
Cardiff,heart/cardiac problem,1.08,51.4816,-3.1791
Cardiff,heart attack/myocardial infarction,4.68,51.4816,-3.1791
Cardiff,heart valve problem/heart murmur,2.0,51.4816,-3.1791
Cardiff,heart arrhythmia,1.31,51.4816,-3.1791
Cardiff,irregular heart beat,0.0,51.4816,-3.1791
Cardiff,heart failure/pulmonary odema,0.19,51.4816,-3.1791
Bury,heart/cardiac problem,0.71,53.5933,-2.2954
Bury,heart attack/myocardial infarction,5.5,53.5933,-2.2954
Bury,heart valve problem/heart murmur,1.9,53.5933,-2.2954
Bury,heart arrhythmia,2.14,53.5933,-2.2954
Bury,irregular heart beat,0.0,53.5933,-2.2954
Bury,heart failure/pulmonary odema,0.23,53.5933,-2.2954
Edinburgh,heart/cardiac problem,0.46,55.9533,-3.1883
Edinburgh,heart attack/myocardial infarction,4.43,55.9533,-3.1883
Edinburgh,heart valve problem/heart murmur,1.65,55.9533,-3.1883
