State,Income,High Blood Pressure,High Cholesterol,Heart Attack,Coronary Heart Disease,Stroke
Alabama,18-31000,52.69,84.29,8.65,8.07,8.31
Alabama,31-52000,50.8,90.11,6.14,6.93,4.2
Alabama,52-100000,43.96,89.41,4.34,5.08,3.39
Alabama,<18000,60.54,80.37,10.02,11.36,10.64
Alabama,>100000,38.31,93.5,3.42,4.02,2.48
Alabama,Unknown,50.2,83.22,7.93,8.19,6.75
Alaska,18-31000,39.77,73.63,7.06,6.92,5.33
Alaska,31-52000,36.08,80.41,3.61,1.8,3.09
Alaska,52-100000,34.58,85.79,2.06,2.62,2.62
Alaska,<18000,44.81,68.18,8.12,7.47,9.09
Alaska,>100000,29.63,88.96,2.12,2.8,1.21
Alaska,Unknown,35.35,75.0,5.3,5.05,2.78
Arizona,18-31000,44.51,84.63,7.99,6.77,5.94
Arizona,31-52000,44.09,89.83,6.54,6.33,4.05
Arizona,52-100000,38.61,92.96,4.97,5.8,2.59
Arizona,<18000,44.79,78.35,10.74,8.1,7.77
Arizona,>100000,32.95,94.05,3.41,4.65,1.84
Arizona,Unknown,43.21,87.06,6.09,5.04,5.56
Arkansas,18-31000,57.43,87.71,11.0,10.29,6.93
Arkansas,31-52000,55.71,90.14,7.04,7.98,6.42
Arkansas,52-100000,47.35,92.82,6.67,7.01,3.93
Arkansas,<18000,62.13,84.04,13.3,13.46,12.99
Arkansas,>100000,37.66,92.88,4.48,5.4,1.61
Arkansas,Unknown,56.67,87.21,10.76,9.02,7.82
California,18-31000,31.2,74.69,3.96,4.08,3.6
California,31-52000,32.27,79.66,3.19,3.59,2.7
California,52-100000,30.29,83.38,3.58,3.86,2.24
California,<18000,35.81,71.55,6.32,5.27,5.03
California,>100000,27.62,88.66,2.06,2.55,1.54
California,Unknown,29.13,78.16,3.51,3.72,2.97
Colorado,18-31000,37.45,78.93,6.75,5.68,4.5
Colorado,31-52000,35.04,85.23,5.19,5.56,2.78
Colorado,52-100000,31.71,88.82,3.46,2.97,2.76
Colorado,<18000,41.2,78.8,8.5,6.35,8.02
Colorado,>100000,27.93,92.97,2.34,2.74,1.57
Colorado,Unknown,32.91,82.48,4.19,3.32,3.23
Connecticut,18-31000,49.69,87.93,8.34,8.05,5.94
Connecticut,31-52000,45.3,91.14,6.64,6.0,3.6
Connecticut,52-100000,38.46,92.07,3.86,4.57,2.72
Connecticut,<18000,47.97,83.56,8.78,7.21,6.31
Connecticut,>100000,30.29,94.78,2.72,3.68,1.54
Connecticut,Unknown,40.47,86.67,5.5,5.41,4.16
Delaware,18-31000,46.68,84.65,8.51,7.05,7.37
Delaware,31-52000,40.56,90.24,6.51,8.24,3.69
Delaware,52-100000,48.61,93.03,6.37,6.77,6.97
Delaware,<18000,49.21,81.1,8.27,6.69,9.06
Delaware,>100000,34.67,92.84,3.44,3.72,2.01
Delaware,Unknown,44.35,86.51,7.53,5.35,5.22
District of Columbia,18-31000,62.78,91.01,7.73,6.94,9.94
District of Columbia,31-52000,53.49,93.36,4.98,6.64,4.98
District of Columbia,52-100000,39.73,92.27,2.13,2.13,3.47
District of Columbia,<18000,60.47,86.3,9.3,7.24,12.4
District of Columbia,>100000,30.18,95.4,1.81,3.63,1.68
District of Columbia,Unknown,46.57,88.46,4.95,5.08,6.87
Florida,18-31000,46.93,86.26,8.39,7.68,6.72
Florida,31-52000,44.25,91.15,7.4,7.24,4.91
Florida,52-100000,39.0,92.48,6.31,6.39,2.67
Florida,<18000,52.12,82.0,11.76,12.71,9.06
Florida,>100000,34.89,95.02,4.6,5.4,2.51
Florida,Unknown,41.4,87.27,6.81,6.36,4.03
Georgia,18-31000,53.41,85.94,7.59,7.42,6.82
Georgia,31-52000,46.39,86.16,5.85,4.87,4.09
Georgia,52-100000,45.13,89.2,4.78,4.96,4.96
Georgia,<18000,62.25,81.24,12.58,11.48,9.05
Georgia,>100000,36.07,93.08,2.49,4.34,2.21
Georgia,Unknown,48.06,85.9,7.52,7.87,5.99
Guam,18-31000,30.71,68.16,4.87,3.75,3.93
Guam,31-52000,34.2,80.52,2.6,2.16,2.6
Guam,52-100000,36.06,90.87,3.85,4.33,0.96
Guam,<18000,32.86,63.85,4.69,4.23,4.23
Guam,>100000,29.65,88.64,2.21,2.52,1.89
Guam,Unknown,29.41,66.67,3.27,1.96,1.96
Hawaii,18-31000,36.24,74.77,5.26,4.05,4.42
Hawaii,31-52000,37.07,81.75,4.7,4.14,3.47
Hawaii,52-100000,36.23,86.0,2.46,2.84,2.55
Hawaii,<18000,39.94,73.48,6.55,6.07,7.03
Hawaii,>100000,34.77,90.51,2.52,2.92,2.25
Hawaii,Unknown,37.16,77.52,2.75,1.99,3.36
Idaho,18-31000,44.33,81.68,7.5,6.47,4.55
Idaho,31-52000,42.82,85.05,4.78,5.14,3.59
Idaho,52-100000,36.27,88.5,4.35,3.12,1.34
Idaho,<18000,50.37,74.81,8.58,5.97,8.4
Idaho,>100000,31.83,91.0,3.03,3.27,1.23
Idaho,Unknown,41.15,80.29,6.76,4.75,5.47
Illinois,18-31000,48.96,84.61,7.34,8.21,6.06
Illinois,31-52000,41.48,85.37,5.88,6.64,4.68
Illinois,52-100000,41.29,89.03,4.66,6.04,3.16
Illinois,<18000,45.91,80.17,11.42,9.27,8.84
Illinois,>100000,30.26,91.07,2.23,3.96,1.23
Illinois,Unknown,37.25,82.35,5.04,3.64,3.92
Indiana,18-31000,51.76,85.55,9.97,9.5,7.67
Indiana,31-52000,42.25,89.35,8.28,7.1,4.14
Indiana,52-100000,43.23,90.34,5.18,6.83,2.94
Indiana,<18000,52.58,78.59,13.96,11.66,11.28
Indiana,>100000,32.26,91.85,3.23,4.36,1.34
Indiana,Unknown,45.25,87.54,9.07,7.87,6.89
Iowa,18-31000,50.3,84.45,7.37,6.92,4.61
Iowa,31-52000,41.21,86.1,7.01,5.82,3.8
Iowa,52-100000,35.84,87.25,4.36,4.68,1.63
Iowa,<18000,50.0,81.37,12.01,9.31,6.86
Iowa,>100000,29.4,92.27,2.14,3.02,1.32
Iowa,Unknown,39.53,82.63,6.48,4.13,4.23
Kansas,18-31000,44.62,79.05,7.83,7.07,5.46
Kansas,31-52000,43.1,85.08,5.44,5.74,3.75
Kansas,52-100000,38.31,87.08,4.33,4.97,2.57
Kansas,<18000,49.52,74.52,11.03,9.52,9.25
Kansas,>100000,31.55,91.43,2.67,3.36,1.49
Kansas,Unknown,40.76,80.19,5.39,5.54,4.77
Kentucky,18-31000,51.1,83.51,9.65,9.43,6.48
Kentucky,31-52000,46.28,86.7,7.17,7.56,2.74
Kentucky,52-100000,48.78,88.09,5.5,7.54,3.05
Kentucky,<18000,63.16,83.47,15.1,14.49,12.14
Kentucky,>100000,38.11,91.02,4.76,5.16,1.61
Kentucky,Unknown,49.56,85.33,8.29,7.1,5.68
Louisiana,18-31000,56.92,83.58,8.83,10.42,8.58
Louisiana,31-52000,47.04,85.38,6.72,6.52,3.16
Louisiana,52-100000,45.42,88.11,5.07,4.48,2.14
Louisiana,<18000,64.79,82.58,11.43,13.97,13.25
Louisiana,>100000,35.65,88.76,3.88,4.29,1.43
Louisiana,Unknown,48.2,82.66,7.42,6.32,5.45
Maine,18-31000,47.43,90.08,8.92,8.49,5.44
Maine,31-52000,40.96,89.8,6.35,6.02,3.45
Maine,52-100000,37.14,94.29,4.04,4.74,2.79
Maine,<18000,51.31,87.14,11.43,11.07,9.88
Maine,>100000,32.3,95.09,2.97,3.15,1.67
Maine,Unknown,40.73,86.29,5.24,5.95,3.93
Maryland,18-31000,55.4,91.2,9.39,9.92,7.93
Maryland,31-52000,53.04,92.57,6.39,5.67,4.07
Maryland,52-100000,43.8,93.24,4.96,5.76,3.75
Maryland,<18000,57.21,86.91,10.29,11.47,8.68
Maryland,>100000,35.27,95.35,2.88,3.58,1.97
Maryland,Unknown,46.05,91.0,6.9,6.29,5.26
Massachusetts,18-31000,44.74,86.3,7.34,7.28,5.78
Massachusetts,31-52000,38.46,86.57,6.89,6.08,3.67
Massachusetts,52-100000,35.76,90.84,4.28,3.78,2.19
Massachusetts,<18000,43.99,84.46,9.82,7.62,6.89
Massachusetts,>100000,25.97,92.22,2.18,2.76,1.09
Massachusetts,Unknown,34.97,83.64,4.23,4.7,3.24
Michigan,18-31000,46.26,84.31,8.26,8.11,5.47
Michigan,31-52000,44.76,90.15,5.93,6.29,5.01
