State,Income,High Blood Pressure,High Cholesterol,Heart Attack,Coronary Heart Disease,Stroke,Diabetes,Arthritis,COPD,Asthma
Alabama,18-31000,52.69,84.29,8.65,8.07,8.31,21.66,46.64,14.94,17.39
Alabama,31-52000,50.8,90.11,6.14,6.93,4.2,17.27,39.77,9.66,13.86
Alabama,52-100000,43.96,89.41,4.34,5.08,3.39,13.35,33.58,7.42,12.39
Alabama,<18000,60.54,80.37,10.02,11.36,10.64,22.83,56.1,21.49,24.48
Alabama,>100000,38.31,93.5,3.42,4.02,2.48,9.18,28.53,4.22,10.45
Alabama,Unknown,50.2,83.22,7.93,8.19,6.75,17.37,44.43,12.39,15.47
Alaska,18-31000,39.77,73.63,7.06,6.92,5.33,13.26,32.42,8.93,14.55
Alaska,31-52000,36.08,80.41,3.61,1.8,3.09,8.76,26.29,5.67,11.6
Alaska,52-100000,34.58,85.79,2.06,2.62,2.62,7.29,31.59,4.49,11.4
Alaska,<18000,44.81,68.18,8.12,7.47,9.09,12.66,37.34,12.66,17.21
Alaska,>100000,29.63,88.96,2.12,2.8,1.21,7.48,22.9,2.19,11.72
Alaska,Unknown,35.35,75.0,5.3,5.05,2.78,11.11,27.27,6.31,12.88
Arizona,18-31000,44.51,84.63,7.99,6.77,5.94,17.26,37.18,11.99,15.7
Arizona,31-52000,44.09,89.83,6.54,6.33,4.05,15.04,33.2,7.57,14.32
Arizona,52-100000,38.61,92.96,4.97,5.8,2.59,13.04,33.02,6.63,12.63
Arizona,<18000,44.79,78.35,10.74,8.1,7.77,22.15,45.29,17.02,20.0
Arizona,>100000,32.95,94.05,3.41,4.65,1.84,8.01,25.87,3.73,12.28
Arizona,Unknown,43.21,87.06,6.09,5.04,5.56,13.47,34.66,9.89,13.58
Arkansas,18-31000,57.43,87.71,11.0,10.29,6.93,19.64,47.57,14.43,14.93
Arkansas,31-52000,55.71,90.14,7.04,7.98,6.42,19.25,41.78,10.17,11.42
Arkansas,52-100000,47.35,92.82,6.67,7.01,3.93,16.41,38.12,8.03,11.45
Arkansas,<18000,62.13,84.04,13.3,13.46,12.99,24.88,52.74,21.75,17.68
Arkansas,>100000,37.66,92.88,4.48,5.4,1.61,9.41,25.14,3.9,10.22
Arkansas,Unknown,56.67,87.21,10.76,9.02,7.82,20.15,45.81,12.24,15.09
California,18-31000,31.2,74.69,3.96,4.08,3.6,12.58,22.59,6.73,13.3
California,31-52000,32.27,79.66,3.19,3.59,2.7,9.31,25.16,5.31,12.66
California,52-100000,30.29,83.38,3.58,3.86,2.24,9.33,22.16,5.33,14.03
California,<18000,35.81,71.55,6.32,5.27,5.03,16.49,27.35,10.36,16.86
California,>100000,27.62,88.66,2.06,2.55,1.54,7.15,18.69,2.13,13.55
California,Unknown,29.13,78.16,3.51,3.72,2.97,9.76,23.09,4.8,11.76
Colorado,18-31000,37.45,78.93,6.75,5.68,4.5,11.85,34.69,9.08,14.06
Colorado,31-52000,35.04,85.23,5.19,5.56,2.78,8.1,31.58,6.24,12.98
Colorado,52-100000,31.71,88.82,3.46,2.97,2.76,9.29,31.28,4.86,12.75
Colorado,<18000,41.2,78.8,8.5,6.35,8.02,18.68,42.28,16.05,19.76
Colorado,>100000,27.93,92.97,2.34,2.74,1.57,5.43,24.61,3.1,12.7
Colorado,Unknown,32.91,82.48,4.19,3.32,3.23,9.15,31.45,6.1,12.79
Connecticut,18-31000,49.69,87.93,8.34,8.05,5.94,18.06,40.49,11.5,18.45
Connecticut,31-52000,45.3,91.14,6.64,6.0,3.6,12.18,37.82,9.13,15.22
Connecticut,52-100000,38.46,92.07,3.86,4.57,2.72,10.51,34.74,5.5,12.94
